brand,topic,sentiment,text,date,month,source,likes,shares
Balenciaga,nouvelle collection,négatif,Stock course perhaps remember. Balenciaga nouvelle collection Cut service yet.,2025-01-18,2025-01,Instagram,2058,723
Balenciaga,inflation,neutre,American director question. Balenciaga inflation Person research.,2025-01-30,2025-01,TikTok,4156,662
Gucci,green fashion,positif,Visit investment smile data prepare. Gucci green fashion Build other card product.,2025-04-28,2025-04,TikTok,4790,549
Chanel,nouvelle collection,négatif,American more second. Chanel nouvelle collection House range.,2025-03-25,2025-03,TikTok,726,352
Louis Vuitton,durabilité,positif,Up degree quite imagine. Louis Vuitton durabilité Cup open even commercial.,2025-03-16,2025-03,TikTok,4554,312
Louis Vuitton,collab,neutre,Scientist simply. Louis Vuitton collab Upon yard.,2025-02-26,2025-02,TikTok,4986,873
Chanel,durabilité,neutre,Stay tree system. Chanel durabilité Manage resource purpose.,2025-02-28,2025-02,Instagram,4593,59
Gucci,nouvelle collection,positif,Believe customer join. Gucci nouvelle collection Organization whatever south fish.,2025-02-10,2025-02,TikTok,1833,643
Gucci,inflation,neutre,Wrong relationship. Gucci inflation Window than generation yeah fall.,2025-02-20,2025-02,TikTok,2091,924
Gucci,nouvelle collection,négatif,I agree result difference. Gucci nouvelle collection American teach home.,2025-05-05,2025-05,Instagram,3429,714
Balenciaga,durabilité,positif,Enough involve point. Balenciaga durabilité Full worker great with.,2025-02-13,2025-02,TikTok,1584,755
Louis Vuitton,influenceurs,neutre,Officer contain political school box. Louis Vuitton influenceurs Surface draw already hold.,2025-02-19,2025-02,Instagram,259,35
Dior,durabilité,neutre,Stuff visit hear because measure. Dior durabilité End moment husband environment close.,2025-03-02,2025-03,TikTok,683,445
Dior,défilé,négatif,Mean operation itself very tonight. Dior défilé Foot hot player.,2025-05-31,2025-05,Instagram,4543,93
Gucci,collab,négatif,History arm interest. Gucci collab Fill Mrs.,2025-01-27,2025-01,TikTok,2175,950
Louis Vuitton,influenceurs,neutre,Low decision professional thousand bank. Louis Vuitton influenceurs Both floor young coach.,2025-02-18,2025-02,TikTok,780,959
Dior,nouvelle collection,positif,Author find whole. Dior nouvelle collection Bag stay green new.,2025-05-08,2025-05,Instagram,3972,207
Balenciaga,défilé,neutre,Employee play recent. Balenciaga défilé Ready most.,2025-01-25,2025-01,Instagram,4373,353
Dior,durabilité,neutre,Pressure push American cell energy. Dior durabilité Walk wonder out.,2025-02-20,2025-02,Instagram,1994,903
Balenciaga,nouvelle collection,positif,Mrs style. Balenciaga nouvelle collection Pass draw artist could education.,2025-01-09,2025-01,Instagram,1087,332
Chanel,green fashion,positif,Agent everybody. Chanel green fashion Majority recognize share.,2025-01-12,2025-01,Instagram,245,817
Balenciaga,durabilité,neutre,Whole sort crime try. Balenciaga durabilité Claim recognize in catch.,2025-03-03,2025-03,Instagram,398,862
Louis Vuitton,nouvelle collection,négatif,Note material use commercial. Louis Vuitton nouvelle collection Difficult model.,2025-04-20,2025-04,Instagram,3047,725
Gucci,défilé,positif,Friend south firm. Gucci défilé Again dog talk yet.,2025-01-10,2025-01,Instagram,4868,159
Dior,durabilité,négatif,Foreign garden couple. Dior durabilité Interesting some.,2025-05-09,2025-05,TikTok,1858,954
Chanel,défilé,positif,Across recent rather. Chanel défilé Decide government million long.,2025-04-04,2025-04,TikTok,4729,957
Balenciaga,défilé,positif,Certain so discover eat. Balenciaga défilé Pull sound stage organization.,2025-05-18,2025-05,Instagram,2824,24
Gucci,durabilité,positif,Which sell catch. Gucci durabilité Simple town guess time.,2025-05-31,2025-05,TikTok,3384,404
Balenciaga,durabilité,positif,Manage notice. Balenciaga durabilité Position final senior deep.,2025-04-10,2025-04,TikTok,3288,805
Chanel,influenceurs,négatif,To at defense. Chanel influenceurs Buy simple someone go among.,2025-03-30,2025-03,TikTok,1262,516
Balenciaga,collab,négatif,Do talk. Balenciaga collab Million foreign rate leader.,2025-05-20,2025-05,TikTok,3991,732
Balenciaga,durabilité,neutre,Somebody consumer whose open. Balenciaga durabilité Type art behind.,2025-02-10,2025-02,Instagram,4683,364
Gucci,collab,neutre,Response such training. Gucci collab Take official suggest.,2025-05-24,2025-05,TikTok,2132,382
Chanel,influenceurs,négatif,Rich sure game PM. Chanel influenceurs Catch seat perform.,2025-04-12,2025-04,Instagram,4540,532
Gucci,influenceurs,neutre,Partner drive. Gucci influenceurs City four give.,2025-05-24,2025-05,TikTok,2160,956
Dior,inflation,neutre,Understand crime system I. Dior inflation Debate task especially community stop.,2025-06-14,2025-06,TikTok,4869,152
Gucci,défilé,positif,Career century answer. Gucci défilé Cold than similar consumer.,2025-04-15,2025-04,TikTok,1339,562
Chanel,défilé,négatif,View push fast sit tough. Chanel défilé Human particular go.,2025-03-09,2025-03,Instagram,1368,689
Louis Vuitton,nouvelle collection,neutre,Class degree subject traditional. Louis Vuitton nouvelle collection Former seven hand according.,2025-05-28,2025-05,TikTok,2492,947
Chanel,nouvelle collection,positif,Kitchen tend activity. Chanel nouvelle collection Audience out week site.,2025-03-29,2025-03,Instagram,4552,608
Louis Vuitton,défilé,neutre,Glass think generation. Louis Vuitton défilé Around summer political relationship.,2025-02-01,2025-02,TikTok,2027,617
Louis Vuitton,collab,positif,Know mind machine at each. Louis Vuitton collab Friend detail money American.,2025-03-15,2025-03,Instagram,1341,420
Louis Vuitton,durabilité,négatif,Whole simple individual nation scientist. Louis Vuitton durabilité Event spring.,2025-04-13,2025-04,TikTok,4354,250
Louis Vuitton,nouvelle collection,positif,Determine above difficult order inside. Louis Vuitton nouvelle collection Lay store together appear.,2025-05-27,2025-05,Instagram,4271,117
Dior,influenceurs,négatif,Purpose local her. Dior influenceurs Risk seek sometimes.,2025-02-14,2025-02,Instagram,1368,866
Chanel,nouvelle collection,positif,Late method. Chanel nouvelle collection Firm road move everybody bit.,2025-04-28,2025-04,TikTok,4647,512
Balenciaga,nouvelle collection,négatif,Remain program enough would. Balenciaga nouvelle collection Able wall television design foot.,2025-06-03,2025-06,Instagram,4864,740
Chanel,durabilité,négatif,People minute save. Chanel durabilité After trip discuss law.,2025-03-22,2025-03,TikTok,3187,578
Gucci,collab,positif,Yes here after ready. Gucci collab Challenge animal win system.,2025-06-13,2025-06,TikTok,2138,335
Louis Vuitton,influenceurs,négatif,Security worry. Louis Vuitton influenceurs Current protect let citizen.,2025-03-25,2025-03,TikTok,2190,418
Dior,inflation,négatif,Camera skin test speech. Dior inflation House fall husband.,2025-03-24,2025-03,TikTok,4902,932
Gucci,durabilité,neutre,Edge look. Gucci durabilité Writer voice down.,2025-02-20,2025-02,TikTok,147,774
Louis Vuitton,influenceurs,neutre,Space hair. Louis Vuitton influenceurs Project little during black.,2025-04-28,2025-04,TikTok,3482,295
Louis Vuitton,défilé,négatif,Big report art forget. Louis Vuitton défilé Physical no left suddenly.,2025-01-09,2025-01,TikTok,2842,938
Dior,durabilité,positif,Relationship clear beat. Dior durabilité Through entire.,2025-01-30,2025-01,TikTok,3589,755
Chanel,collab,positif,Nor stock human executive near. Chanel collab Share sport history time.,2025-06-08,2025-06,TikTok,3041,371
Balenciaga,inflation,positif,Citizen reduce. Balenciaga inflation However drug.,2025-01-27,2025-01,TikTok,4174,186
Gucci,collab,négatif,Suggest account. Gucci collab Finally management.,2025-01-31,2025-01,TikTok,2603,246
Gucci,collab,positif,Song story work three. Gucci collab Down none.,2025-02-03,2025-02,Instagram,4310,637
Gucci,durabilité,neutre,Develop concern parent long. Gucci durabilité Growth us than six.,2025-01-05,2025-01,Instagram,3828,268
Louis Vuitton,défilé,neutre,Say decade ever even. Louis Vuitton défilé Kid then relate impact PM.,2025-05-05,2025-05,TikTok,4148,643
Balenciaga,durabilité,positif,Him former right lead toward. Balenciaga durabilité Prevent nothing believe pressure.,2025-03-29,2025-03,TikTok,3833,237
Louis Vuitton,durabilité,positif,Watch write science body. Louis Vuitton durabilité Realize former move push leave.,2025-04-16,2025-04,TikTok,4052,530
Chanel,inflation,négatif,Huge truth base lead. Chanel inflation Them market teacher.,2025-04-23,2025-04,TikTok,1916,552
Gucci,collab,négatif,Be fine recently off. Gucci collab Reach happen bill.,2025-04-17,2025-04,TikTok,770,21
Louis Vuitton,collab,négatif,Easy entire institution reveal. Louis Vuitton collab Majority moment high.,2025-05-03,2025-05,TikTok,3455,911
Louis Vuitton,inflation,négatif,Reach rest find on. Louis Vuitton inflation However then speech.,2025-04-02,2025-04,TikTok,909,737
Gucci,green fashion,négatif,Exist old. Gucci green fashion Company dream herself call.,2025-02-23,2025-02,TikTok,4465,867
Balenciaga,influenceurs,neutre,Public report tend data. Balenciaga influenceurs Inside black.,2025-01-20,2025-01,Instagram,2957,794
Gucci,collab,positif,Base across occur week surface. Gucci collab Prevent challenge piece.,2025-06-05,2025-06,TikTok,1729,520
Dior,collab,positif,Hospital election upon for. Dior collab Up until.,2025-02-18,2025-02,Instagram,290,100
Balenciaga,influenceurs,neutre,Field far college. Balenciaga influenceurs Off employee gas various develop.,2025-05-26,2025-05,TikTok,3276,752
Louis Vuitton,influenceurs,négatif,Movie sit hear party almost. Louis Vuitton influenceurs As carry bring.,2025-05-31,2025-05,TikTok,1897,478
Louis Vuitton,défilé,neutre,Although itself make. Louis Vuitton défilé Current nothing join.,2025-05-10,2025-05,Instagram,3276,599
Gucci,nouvelle collection,neutre,Product traditional identify. Gucci nouvelle collection Look stuff these.,2025-05-19,2025-05,TikTok,676,298
Chanel,défilé,neutre,Time plant change throw management. Chanel défilé Measure charge police free.,2025-04-07,2025-04,Instagram,4198,940
Louis Vuitton,durabilité,positif,Arm game. Louis Vuitton durabilité Ball season before.,2025-04-28,2025-04,TikTok,681,526
Louis Vuitton,nouvelle collection,positif,Be theory chance. Louis Vuitton nouvelle collection Foreign actually memory energy.,2025-01-19,2025-01,TikTok,1979,334
Chanel,inflation,positif,Same effort action. Chanel inflation Create conference cup.,2025-02-19,2025-02,Instagram,4166,2
Balenciaga,collab,neutre,Deep Mrs. Balenciaga collab Outside likely certain million service.,2025-04-05,2025-04,TikTok,3132,375
Balenciaga,défilé,neutre,Center all laugh table. Balenciaga défilé Pass behavior citizen pass rest.,2025-01-17,2025-01,Instagram,4709,293
Louis Vuitton,inflation,neutre,Create card reduce can very. Louis Vuitton inflation There law throw.,2025-06-13,2025-06,TikTok,4787,837
Balenciaga,nouvelle collection,neutre,Morning gun bank. Balenciaga nouvelle collection Late tax might chair.,2025-05-28,2025-05,Instagram,3910,934
Dior,green fashion,positif,Factor so young one. Dior green fashion Create art southern TV.,2025-01-02,2025-01,Instagram,533,553
Dior,collab,négatif,Past such. Dior collab Stay thank discover certain care.,2025-05-18,2025-05,TikTok,2403,318
Gucci,collab,neutre,Article animal. Gucci collab Feel parent.,2025-02-18,2025-02,TikTok,3127,502
Dior,inflation,négatif,South south. Dior inflation Morning serious either.,2025-03-28,2025-03,Instagram,2603,828
Louis Vuitton,défilé,négatif,Mission month owner identify blood. Louis Vuitton défilé Same whose cultural.,2025-04-07,2025-04,TikTok,1978,381
Balenciaga,nouvelle collection,positif,Cultural herself. Balenciaga nouvelle collection Major hope identify we.,2025-05-16,2025-05,TikTok,1763,623
Louis Vuitton,nouvelle collection,positif,Need voice happy already answer. Louis Vuitton nouvelle collection Stuff road.,2025-02-02,2025-02,TikTok,2306,14
Balenciaga,green fashion,positif,After voice provide. Balenciaga green fashion Their table shake take answer.,2025-05-18,2025-05,Instagram,2271,504
Dior,défilé,positif,Question require. Dior défilé Herself party human.,2025-04-08,2025-04,Instagram,2296,231
Dior,green fashion,positif,Customer range pay. Dior green fashion Including commercial serious.,2025-01-20,2025-01,Instagram,4212,985
Gucci,durabilité,neutre,Stand method office central. Gucci durabilité Appear news.,2025-04-11,2025-04,Instagram,2888,84
Dior,nouvelle collection,neutre,According just staff. Dior nouvelle collection Once wide national.,2025-03-10,2025-03,Instagram,4153,130
Balenciaga,défilé,neutre,Medical suffer. Balenciaga défilé Thus tend our during.,2025-04-24,2025-04,Instagram,3654,743
Balenciaga,green fashion,neutre,Stock send contain present year. Balenciaga green fashion Decade else if eight.,2025-02-19,2025-02,Instagram,4442,838
Louis Vuitton,collab,négatif,Choose six father difficult. Louis Vuitton collab Store country final possible every.,2025-06-08,2025-06,Instagram,2065,145
Louis Vuitton,défilé,neutre,Camera owner. Louis Vuitton défilé Group ever.,2025-03-11,2025-03,Instagram,4730,891
Balenciaga,collab,négatif,Data sing official order large. Balenciaga collab Compare begin decade.,2025-04-23,2025-04,TikTok,1286,857
Dior,nouvelle collection,positif,Son none beautiful keep. Dior nouvelle collection Early foot about through help.,2025-04-13,2025-04,Instagram,2776,28
Dior,collab,neutre,Night interview. Dior collab Food anything we six start.,2025-04-26,2025-04,TikTok,312,66
Dior,nouvelle collection,négatif,Serve purpose effect poor hard. Dior nouvelle collection Main pick fall.,2025-03-19,2025-03,TikTok,648,163
Dior,durabilité,positif,Certainly ago report. Dior durabilité Weight discussion across.,2025-03-14,2025-03,TikTok,65,229
Louis Vuitton,influenceurs,négatif,Attack way themselves middle affect. Louis Vuitton influenceurs Across opportunity.,2025-02-15,2025-02,Instagram,4831,261
Dior,défilé,positif,Realize material economy term theory. Dior défilé Parent garden manager imagine reason.,2025-04-30,2025-04,Instagram,535,449
Dior,durabilité,positif,Subject use stock. Dior durabilité Force military customer.,2025-04-29,2025-04,Instagram,4579,424
Dior,collab,neutre,Real authority strategy strong not. Dior collab Nature marriage remain term.,2025-01-05,2025-01,Instagram,4133,460
Gucci,nouvelle collection,neutre,Perform money charge least. Gucci nouvelle collection Reduce visit left operation.,2025-02-22,2025-02,TikTok,2135,952
Gucci,nouvelle collection,positif,Value race recently economic. Gucci nouvelle collection Seek theory.,2025-02-12,2025-02,Instagram,3297,676
Louis Vuitton,défilé,neutre,Record scientist organization never. Louis Vuitton défilé Particularly win approach.,2025-03-02,2025-03,Instagram,374,301
Chanel,nouvelle collection,positif,Here woman reflect stock. Chanel nouvelle collection Risk analysis relationship.,2025-06-03,2025-06,Instagram,4631,919
Dior,nouvelle collection,neutre,Land across hotel admit mean. Dior nouvelle collection Station though.,2025-03-06,2025-03,Instagram,4988,303
Chanel,inflation,positif,Standard respond leg. Chanel inflation Window pressure any.,2025-02-27,2025-02,Instagram,1656,287
Louis Vuitton,green fashion,négatif,Teach network. Louis Vuitton green fashion Expert him building couple act.,2025-03-31,2025-03,TikTok,928,395
Louis Vuitton,green fashion,positif,View public shoulder. Louis Vuitton green fashion When do player day.,2025-01-15,2025-01,Instagram,2807,10
Chanel,influenceurs,positif,Along officer school. Chanel influenceurs Other appear lot east pass.,2025-06-12,2025-06,TikTok,1541,707
Dior,durabilité,neutre,Value western tough. Dior durabilité Case gas to kid.,2025-03-31,2025-03,Instagram,3355,630
Gucci,nouvelle collection,neutre,Lose room before. Gucci nouvelle collection Tend green report near dinner.,2025-05-04,2025-05,TikTok,1916,270
Chanel,collab,positif,Structure partner idea life. Chanel collab Recently offer.,2025-04-20,2025-04,Instagram,3096,592
Chanel,inflation,positif,Some down manager. Chanel inflation Series social piece daughter.,2025-04-19,2025-04,Instagram,4590,970
Chanel,influenceurs,négatif,Pressure number wear perform. Chanel influenceurs Girl election prove.,2025-02-20,2025-02,TikTok,2085,605
Gucci,durabilité,neutre,Provide computer. Gucci durabilité Under rich.,2025-02-03,2025-02,TikTok,723,778
Chanel,green fashion,positif,Floor form miss help. Chanel green fashion Seat century save beautiful.,2025-04-16,2025-04,TikTok,1072,844
Louis Vuitton,inflation,positif,National financial. Louis Vuitton inflation Movement instead.,2025-02-15,2025-02,Instagram,1986,862
Gucci,collab,positif,Western too four field. Gucci collab Practice her character.,2025-04-04,2025-04,TikTok,1306,361
Gucci,green fashion,négatif,Outside fire serious lead tax. Gucci green fashion Writer control trip method.,2025-05-07,2025-05,Instagram,135,257
Chanel,collab,positif,None who better. Chanel collab Suggest condition however career.,2025-06-02,2025-06,Instagram,4642,133
Chanel,inflation,négatif,Reach need agree. Chanel inflation Ask friend ground direction heart.,2025-02-17,2025-02,TikTok,3606,276
Dior,durabilité,positif,Executive physical wide front perform. Dior durabilité Return create.,2025-01-26,2025-01,TikTok,3293,776
Dior,green fashion,neutre,Begin reflect see fire. Dior green fashion Point early administration according.,2025-05-10,2025-05,Instagram,1613,683
Balenciaga,inflation,neutre,Feeling son station. Balenciaga inflation Well even the throughout final.,2025-01-13,2025-01,Instagram,76,972
Balenciaga,green fashion,positif,Change nice none. Balenciaga green fashion Myself sure less.,2025-06-08,2025-06,TikTok,242,513
Louis Vuitton,green fashion,positif,Group city. Louis Vuitton green fashion Heart deep.,2025-01-18,2025-01,TikTok,2166,313
Balenciaga,green fashion,positif,Middle evening make. Balenciaga green fashion Impact note site bring age.,2025-03-22,2025-03,TikTok,1179,576
Louis Vuitton,nouvelle collection,négatif,If activity by property. Louis Vuitton nouvelle collection Door represent structure risk support.,2025-01-02,2025-01,Instagram,2168,886
Dior,influenceurs,négatif,Control training police. Dior influenceurs Actually student child end.,2025-04-01,2025-04,Instagram,4216,980
Gucci,nouvelle collection,neutre,Full heavy old so interest. Gucci nouvelle collection Attorney tax huge.,2025-03-04,2025-03,Instagram,1503,284
Louis Vuitton,inflation,neutre,Human mention poor. Louis Vuitton inflation Federal memory kid.,2025-04-14,2025-04,Instagram,4728,121
Chanel,green fashion,positif,Get lot success care discussion. Chanel green fashion Back agent police.,2025-01-25,2025-01,Instagram,4017,107
Gucci,défilé,neutre,Suddenly heavy. Gucci défilé In hundred.,2025-02-28,2025-02,Instagram,2482,933
Balenciaga,influenceurs,neutre,Decision response human. Balenciaga influenceurs Half argue star base.,2025-05-27,2025-05,TikTok,2670,687
Chanel,green fashion,négatif,Home situation structure system recent. Chanel green fashion Environment week star culture walk.,2025-06-13,2025-06,Instagram,2749,997
Louis Vuitton,influenceurs,négatif,Bag end mind general. Louis Vuitton influenceurs Mission she.,2025-01-25,2025-01,Instagram,1771,204
Balenciaga,green fashion,neutre,Hair just. Balenciaga green fashion Base big.,2025-06-10,2025-06,Instagram,3524,165
Louis Vuitton,influenceurs,négatif,Rock do job bag. Louis Vuitton influenceurs Nature myself space.,2025-05-22,2025-05,TikTok,1985,305
Balenciaga,green fashion,neutre,Herself that. Balenciaga green fashion Fill action class process.,2025-04-12,2025-04,Instagram,2372,497
Gucci,green fashion,négatif,Sell commercial. Gucci green fashion Budget affect outside.,2025-03-16,2025-03,Instagram,886,632
Dior,nouvelle collection,positif,Order across Mr. Dior nouvelle collection Phone top even drug catch.,2025-03-20,2025-03,TikTok,3822,556
Chanel,inflation,neutre,Seat all sound. Chanel inflation Person day.,2025-01-24,2025-01,Instagram,3458,824
Gucci,influenceurs,neutre,Head movement. Gucci influenceurs Sing home concern.,2025-04-14,2025-04,Instagram,1322,156
Chanel,nouvelle collection,neutre,Together late. Chanel nouvelle collection Party education which role those.,2025-03-16,2025-03,Instagram,1470,367
Dior,inflation,neutre,Moment indeed air have me. Dior inflation Should movie level.,2025-01-22,2025-01,Instagram,2719,719
Louis Vuitton,green fashion,négatif,Model baby product. Louis Vuitton green fashion Represent collection exactly east be.,2025-01-10,2025-01,Instagram,2334,902
Chanel,inflation,neutre,Represent benefit wish however increase. Chanel inflation Thank civil.,2025-05-31,2025-05,TikTok,1743,620
Balenciaga,influenceurs,négatif,Go local. Balenciaga influenceurs Boy race visit these employee.,2025-04-12,2025-04,TikTok,1615,251
Gucci,inflation,négatif,Stuff number. Gucci inflation Data star change.,2025-04-29,2025-04,TikTok,2573,957
Chanel,nouvelle collection,négatif,Past human training then write. Chanel nouvelle collection Follow clear lose loss.,2025-05-11,2025-05,Instagram,3431,916
Chanel,influenceurs,positif,Job box material generation simply. Chanel influenceurs Audience music beat pay area.,2025-06-07,2025-06,Instagram,3527,882
Dior,nouvelle collection,neutre,Key relate collection. Dior nouvelle collection Material senior something night.,2025-05-14,2025-05,Instagram,2407,334
Balenciaga,green fashion,positif,Degree discussion because history boy. Balenciaga green fashion Democrat agency question.,2025-04-27,2025-04,TikTok,3745,642
Chanel,influenceurs,négatif,Fast purpose well policy. Chanel influenceurs Star important deep.,2025-01-10,2025-01,Instagram,2880,969
Chanel,durabilité,positif,Market officer miss. Chanel durabilité Picture human stay.,2025-01-12,2025-01,Instagram,1170,511
Chanel,défilé,positif,Law mouth occur. Chanel défilé Important forget.,2025-06-02,2025-06,TikTok,4864,293
Chanel,inflation,neutre,Participant recognize real out. Chanel inflation Send food course.,2025-06-07,2025-06,Instagram,252,20
Louis Vuitton,inflation,négatif,Player baby probably why hour. Louis Vuitton inflation Decide shake area state.,2025-03-18,2025-03,TikTok,2600,282
Balenciaga,collab,neutre,Cost with. Balenciaga collab Southern others service.,2025-05-17,2025-05,TikTok,1073,797
Gucci,inflation,négatif,Modern focus social. Gucci inflation To police.,2025-03-03,2025-03,TikTok,4334,1
Chanel,collab,neutre,I challenge cell red. Chanel collab Girl draw.,2025-04-20,2025-04,Instagram,2605,119
Louis Vuitton,durabilité,positif,Laugh major down lead they. Louis Vuitton durabilité Mind laugh book many.,2025-06-12,2025-06,Instagram,929,35
Gucci,collab,positif,Provide to language. Gucci collab Way then long research lead.,2025-03-27,2025-03,Instagram,15,198
Balenciaga,inflation,positif,Well gun federal available. Balenciaga inflation Drive available believe actually.,2025-04-16,2025-04,Instagram,477,485
Balenciaga,collab,positif,Me near plant hear. Balenciaga collab Simple theory public.,2025-01-24,2025-01,Instagram,4180,757
Gucci,collab,négatif,Issue bring partner. Gucci collab Through recently policy very.,2025-02-28,2025-02,Instagram,13,59
Balenciaga,nouvelle collection,neutre,Out travel hold four. Balenciaga nouvelle collection You husband lay accept.,2025-05-11,2025-05,Instagram,655,837
Dior,durabilité,négatif,Also each herself. Dior durabilité Wait sometimes certainly present.,2025-05-15,2025-05,TikTok,127,161
Balenciaga,durabilité,neutre,Computer animal anyone impact perform. Balenciaga durabilité These bill tell perhaps.,2025-01-13,2025-01,Instagram,2938,691
Balenciaga,inflation,neutre,Or grow. Balenciaga inflation For career something newspaper.,2025-05-07,2025-05,TikTok,2561,206
Gucci,collab,neutre,Actually performance factor most. Gucci collab New sport describe official health.,2025-06-08,2025-06,Instagram,4299,12
Gucci,inflation,négatif,Me movie effort. Gucci inflation National low conference.,2025-01-17,2025-01,Instagram,856,490
Chanel,durabilité,neutre,Across forget look happen economy. Chanel durabilité Born light.,2025-04-20,2025-04,Instagram,2772,276
Dior,durabilité,neutre,Visit direction environment but fast. Dior durabilité Character coach thing.,2025-01-20,2025-01,TikTok,1151,693
Gucci,influenceurs,positif,Doctor appear common. Gucci influenceurs With school mind card value.,2025-02-11,2025-02,TikTok,1820,242
